iter	Passed	Remaining
0	828	4143497
1	1632	4079034
2	2444	4071719
3	3265	4078287
4	4085	4081785
5	4897	4076071
6	5713	4075415
7	6531	4075869
8	7340	4070543
9	8150	4067295
10	8961	4064456
11	9765	4059142
12	10570	4054961
13	11382	4053921
14	12187	4050173
15	12996	4048317
16	13805	4046709
17	14611	4044197
18	15418	4042179
19	16225	4040267
20	17034	4038777
21	17839	4036616
22	18640	4033561
23	19448	4032396
24	20248	4029547
25	21052	4027495
26	21857	4025848
27	22660	4023836
28	23460	4021470
29	24261	4019321
30	25069	4018475
31	25875	4017140
32	26685	4016552
33	27485	4014572
34	28284	4012394
35	29084	4010475
36	29889	4009284
37	30689	4007390
38	31485	4005074
39	32281	4002954
40	33078	4000937
41	33881	3999668
42	34690	3999039
43	35500	3998634
44	36306	3997734
45	37111	3996772
46	37906	3994659
47	38709	3993556
48	39510	3992186
49	40308	3990513
50	41119	3990158
51	41919	3988807
52	42726	3988097
53	43529	3986943
54	44328	3985572
55	45126	3983999
56	45925	3982667
57	46724	3981207
58	47526	3980137
59	48323	3978666
60	49121	3977193
61	49924	3976237
62	50725	3975077
63	51522	3973649
64	52357	3975124
65	53161	3974222
66	53975	3974053
67	54784	3973492
68	55595	3973042
69	56389	3971430
70	57202	3971134
71	57998	3969643
72	58798	3968468
73	59600	3967432
74	60398	3966191
75	61200	3965172
76	61999	3963933
77	62800	3962848
78	63598	3961620
79	64402	3960750
80	65200	3959504
81	65995	3958124
82	66799	3957276
83	67598	3956142
84	68399	3955076
85	69201	3954152
86	70015	3953864
87	70814	3952737
88	71611	3951533
89	72413	3950539
90	73212	3949456
91	74017	3948675
92	74815	3947543
93	75624	3946939
94	76421	3945778
95	77244	3945886
96	78053	3945339
97	78862	3944752
98	79672	3944177
99	80471	3943118
100	81284	3942721
101	82086	3941753
102	82890	3940901
103	83699	3940306
104	84497	3939203
105	85300	3938285
106	86115	3937971
107	86919	3937146
108	87721	3936182
109	88524	3935332
110	89338	3934938
111	90140	3933991
112	90947	3933258
113	91746	3932241
114	92550	3931365
115	93348	3930284
116	94152	3929441
117	94952	3928445
118	95752	3927459
119	96556	3926612
120	97358	3925724
121	98176	3925459
122	99009	3925764
123	99817	3925096
124	100623	3924322
125	101430	3923576
126	102231	3922624
127	103033	3921707
128	103915	3923813
129	104720	3923002
130	105521	3922033
131	106339	3921663
132	107144	3920840
133	107951	3920076
134	108752	3919120
135	109559	3918378
136	110360	3917389
137	111161	3916420
138	111963	3915517
139	112777	3914976
140	113586	3914318
141	114399	3913743
142	115202	3912849
143	116013	3912243
144	116816	3911331
145	117626	3910690
146	118430	3909830
147	119231	3908858
